iter	Passed	Remaining
406	6735	42911
407	6753	42904
408	6768	42876
409	6787	42874
410	6802	42847
411	6820	42845
412	6837	42831
413	6852	42800
414	6871	42798
415	6884	42765
416	6897	42727
417	6913	42704
418	6934	42714
419	6960	42757
420	6983	42780
421	7002	42778
422	7020	42768
423	7038	42759
424	7055	42746
425	7073	42737
426	7090	42724
427	7105	42696
428	7122	42683
429	7139	42669
430	7157	42662
431	7172	42636
432	7196	42664
433	7215	42661
434	7231	42639
435	7249	42630
436	7264	42608
437	7282	42598
438	7300	42591
439	7317	42575
440	7334	42560
441	7352	42552
442	7369	42534
443	7385	42518
444	7402	42504
445	7416	42472
446	7435	42464
447	7451	42449
448	7467	42425
449	7485	42415
450	7501	42397
451	7517	42379
452	7533	42354
453	7553	42357
454	7570	42343
455	7585	42319
456	7603	42308
457	7621	42298
458	7635	42268
459	7650	42241
460	7665	42216
461	7682	42203
462	7699	42189
463	7715	42167
464	7727	42126
465	7742	42102
466	7758	42081
467	7774	42061
468	7792	42051
469	7807	42026
470	7822	42004
471	7839	41988
472	7856	41974
473	7873	41958
474	7889	41939
475	7905	41917
476	7922	41903
477	7939	41891
478	7957	41882
479	7971	41850
480	7988	41837
481	8004	41818
482	8021	41801
483	8038	41784
484	8055	41771
485	8069	41741
486	8085	41722
487	8099	41692
488	8113	41662
489	8128	41637
490	8144	41617
491	8157	41583
492	8173	41565
493	8187	41533
494	8200	41501
495	8217	41483
496	8233	41465
497	8247	41436
498	8264	41422
499	8281	41406
500	8299	41399
501	8317	41387
502	8333	41370
503	8350	41353
504	8367	41339
505	8384	41323
506	8397	41293
507	8414	41275
508	8429	41255
509	8446	41241
510	8462	41218
511	8478	41201
512	8493	41173
513	8508	41151
514	8522	41122
515	8540	41113
516	8556	41094
517	8571	41068
518	8585	41042
519	8602	41026
520	8615	40993
521	8629	40965
522	8646	40949
523	8662	40932
524	8676	40904
525	8693	40887
526	8709	40869
527	8724	40847
528	8740	40829
529	8757	40811
530	8771	40784
531	8786	40761
532	8801	40737
533	8817	40720
534	8832	40695
535	8847	40669
536	8863	40651
537	8878	40629
538	8894	40610
539	8911	40597
540	8928	40583
541	8942	40554
542	8959	40540
543	8977	40531
544	8994	40515
545	9010	40496
546	9022	40458
547	9035	40430
548	9051	40410
549	9067	40390
550	9083	40375
551	9099	40355
552	9112	40323
553	9128	40302
554	9144	40284
555	9158	40256
556	9174	40238
557	9191	40223
558	9206	40204
559	9222	40181
560	9237	40162
561	9271	40222
562	9294	40233
563	9308	40205
564	9323	40183
565	9342	40175
566	9352	40130
567	9371	40126
568	9391	40124
569	9406	40102
570	9424	40089
571	9440	40072
572	9456	40053
573	9470	40025
574	9486	40010
575	9506	40006
576	9523	39991
577	9535	39957
578	9553	39947
579	9571	39934
580	9587	39917
581	9603	39899
582	9613	39854
583	9630	39841
584	9647	39828
585	9662	39805
586	9676	39777
587	9689	39747
588	9705	39726
589	9720	39706
590	9734	39679
591	9745	39642
592	9764	39632
593	9780	39614
594	9795	39592
595	9812	39579
596	9829	39563
597	9847	39553
598	9864	39538
599	9881	39524
600	9895	39499
601	9911	39480
602	9927	39464
603	9943	39443
604	9958	39423
605	9974	39403
606	9987	39375
607	10002	39350
608	10019	39336
609	10036	39322
610	10053	39307
611	10065	39274
612	10079	39249
613	10095	39230
614	10109	39207
615	10127	39194
616	10142	39173
617	10157	39149
618	10173	39132
619	10185	39098
620	10199	39073
621	10217	39062
622	10238	39065
623	10253	39041
624	10269	39025
625	10284	39001
626	10298	38977
627	10306	38930
628	10322	38909
629	10337	38889
630	10354	38872
631	10370	38855
632	10386	38840
633	10402	38820
634	10417	38797
635	10427	38760
636	10437	38720
637	10453	38699
638	10465	38667
639	10481	38652
640	10498	38635
641	10512	38612
642	10527	38588
643	10542	38568
644	10553	38533
645	10562	38489
646	10579	38476
647	10595	38459
648	10614	38451
649	10630	38434
650	10642	38402
651	10652	38362
652	10668	38343
653	10682	38318
654	10698	38303
655	10715	38290
656	10729	38265
657	10743	38237
658	10760	38226
659	10777	38212
660	10793	38195
661	10805	38163
662	10821	38143
663	10832	38107
664	10846	38084
665	10859	38057
666	10873	38034
667	10890	38017
668	10906	38002
669	10920	37976
670	10934	37953
671	10950	37935
672	10966	37919
673	10982	37899
674	10997	37879
675	11013	37861
676	11030	37848
677	11043	37821
678	11059	37803
679	11072	37775
680	11084	37747
681	11098	37721
682	11115	37706
683	11131	37691
684	11147	37672
685	11163	37656
686	11176	37630
687	11191	37609
688	11207	37589
689	11223	37573
690	11234	37539
691	11250	37523
692	11262	37493
693	11279	37479
694	11294	37459
695	11308	37435
696	11324	37417
697	11337	37390
698	11351	37367
699	11367	37348
700	11381	37325
701	11397	37310
702	11411	37286
703	11426	37264
704	11442	37247
705	11457	37228
706	11472	37209
707	11488	37192
708	11503	37170
709	11519	37155
710	11533	37130
711	11549	37115
712	11565	37096
713	11581	37080
714	11599	37068
715	11612	37044
716	11624	37012
717	11635	36980
718	11654	36971
719	11665	36939
720	11679	36916
721	11695	36901
722	11709	36878
723	11727	36867
724	11745	36857
725	11762	36841
726	11778	36826
727	11792	36803
728	11810	36792
729	11824	36768
730	11842	36758
731	11855	36732
732	11869	36711
733	11886	36697
734	11898	36667
735	11909	36635
736	11925	36617
737	11943	36608
738	11959	36589
739	11968	36552
740	11981	36527
741	11996	36508
742	12009	36482
743	12023	36457
744	12039	36441
745	12054	36422
746	12071	36407
747	12087	36393
748	12104	36377
749	12117	36353
750	12133	36335
751	12150	36322
752	12167	36308
753	12181	36285
754	12197	36269
755	12214	36254
756	12227	36231
757	12241	36206
758	12255	36184
759	12270	36165
760	12285	36145
761	12299	36124
762	12314	36105
763	12327	36080
764	12339	36050
765	12354	36032
766	12369	36012
767	12382	35986
768	12392	35953
769	12403	35921
770	12421	35911
771	12438	35899
772	12455	35883
773	12469	35862
774	12482	35836
775	12499	35823
776	12515	35805
777	12531	35790
778	12546	35771
779	12564	35761
780	12579	35740
781	12594	35723
782	12610	35706
783	12625	35684
784	12640	35666
785	12654	35646
786	12671	35631
787	12695	35636
788	12713	35626
789	12732	35617
790	12750	35607
791	12764	35585
792	12775	35556
793	12794	35546
794	12808	35524
795	12821	35501
796	12837	35485
797	12853	35468
798	12868	35447
799	12885	35433
800	12899	35412
801	12912	35388
802	12948	35426
803	12964	35409
804	12978	35388
805	12992	35365
806	13007	35347
807	13023	35332
808	13037	35309
809	13051	35287
810	13067	35269
811	13083	35255
812	13095	35226
813	13111	35211
814	13129	35199
815	13140	35171
816	13151	35139
817	13165	35119
818	13176	35087
819	13189	35065
820	13204	35046
821	13218	35025
822	13234	35007
823	13249	34989
824	13266	34976
825	13282	34958
826	13298	34942
827	13314	34925
828	13332	34915
829	13345	34891
830	13359	34870
831	13374	34849
832	13387	34827
833	13400	34803
834	13416	34785
835	13430	34765
836	13444	34744
837	13458	34723
838	13473	34704
839	13489	34686
840	13503	34666
841	13520	34652
842	13534	34632
843	13572	34670
844	13589	34657
845	13603	34635
846	13619	34619
847	13634	34600
848	13650	34584
849	13665	34566
850	13682	34551
851	13697	34532
852	13713	34515
853	13731	34505
854	13747	34489
855	13761	34467
856	13778	34453
857	13794	34438
858	13809	34420
859	13823	34398
860	13841	34387
861	13857	34369
862	13873	34353
863	13889	34337
864	13906	34324
865	13922	34306
866	13935	34284
867	13951	34268
868	13963	34242
869	13977	34220
870	13989	34195
871	14008	34184
872	14019	34158
873	14035	34140
874	14051	34123
875	14068	34110
876	14085	34097
877	14101	34080
878	14115	34059
879	14130	34040
880	14145	34024
881	14161	34007
882	14177	33991
883	14191	33969
884	14208	33954
885	14224	33940
886	14239	33921
887	14256	33908
888	14271	33888
889	14288	33875
890	14306	33862
891	14318	33838
892	14333	33820
893	14352	33810
894	14366	33789
895	14383	33775
896	14398	33756
897	14413	33739
898	14431	33726
899	14449	33715
900	14463	33694
901	14480	33681
902	14497	33667
903	14515	33654
904	14529	33634
905	14544	33617
906	14561	33601
907	14579	33590
908	14596	33577
909	14613	33562
910	14629	33547
911	14646	33532
912	14661	33515
913	14678	33500
914	14696	33489
915	14710	33467
916	14725	33449
917	14739	33427
918	14755	33413
919	14773	33400
920	14790	33386
921	14805	33368
922	14821	33352
923	14838	33338
924	14852	33317
925	14869	33302
926	14885	33287
927	14902	33272
928	14915	33251
929	14930	33233
930	14948	33220
931	14963	33202
932	14980	33187
933	14995	33169
934	15008	33146
935	15022	33127
936	15038	33111
937	15056	33098
938	15071	33080
939	15086	33061
940	15103	33048
941	15118	33029
942	15135	33016
943	15152	33002
944	15170	32990
945	15189	32981
946	15207	32968
947	15225	32956
948	15239	32936
949	15255	32920
950	15271	32903
951	15288	32889
952	15306	32876
953	15321	32859
954	15339	32846
955	15353	32826
956	15367	32807
957	15384	32792
958	15398	32771
959	15415	32758
960	15430	32739
961	15444	32718
962	15460	32703
963	15476	32686
964	15490	32665
965	15504	32646
966	15521	32632
967	15539	32620
968	15554	32602
969	15571	32587
970	15589	32575
971	15604	32557
972	15622	32545
973	15641	32534
974	15659	32522
975	15676	32508
976	15692	32493
977	15709	32478
978	15726	32464
979	15741	32447
980	15758	32433
981	15777	32423
982	15795	32409
983	15810	32393
984	15824	32372
985	15837	32349
986	15856	32339
987	15870	32319
988	15880	32291
989	15895	32271
990	15908	32249
991	15923	32232
992	15940	32217
993	15954	32197
994	15968	32178
995	15983	32159
996	15999	32143
997	16012	32121
998	16028	32105
999	16043	32087
1000	16059	32071
1001	16076	32056
1002	16094	32045
1003	16111	32031
1004	16128	32015
1005	16143	31998
1006	16158	31980
1007	16172	31960
1008	16192	31950
1009	16213	31945
1010	16232	31934
1011	16246	31915
1012	16263	31901
1013	16278	31881
1014	16296	31870
1015	16313	31856
1016	16330	31841
1017	16344	31822
1018	16359	31803
1019	16379	31794
1020	16394	31778
1021	16414	31768
1022	16427	31747
1023	16445	31735
1024	16461	31718
1025	16477	31703
1026	16493	31685
1027	16511	31673
1028	16530	31663
1029	16546	31646
1030	16562	31631
1031	16578	31614
1032	16593	31597
1033	16608	31579
1034	16623	31560
1035	16641	31547
1036	16658	31533
1037	16672	31514
1038	16693	31507
1039	16711	31494
1040	16728	31480
1041	16748	31471
1042	16765	31458
1043	16784	31446
1044	16800	31429
1045	16817	31416
1046	16831	31396
1047	16847	31380
1048	16864	31365
1049	16881	31350
1050	16895	31331
1051	16913	31319
1052	16932	31307
