iter	RMSE
0	0.1067305317
1	0.103915565
2	0.1013256014
3	0.09868369575
4	0.09612499192
5	0.09366064784
6	0.09131559603
7	0.0890025096
8	0.08680777905
9	0.08471766185
10	0.08264063877
11	0.08062106762
12	0.07868203594
13	0.07681422444
14	0.07499387865
15	0.0732531237
16	0.07157328793
17	0.06993716786
18	0.06835308617
19	0.06680701105
20	0.06532096119
21	0.06392138322
22	0.06253194047
23	0.06118332023
24	0.05990781989
25	0.05871019886
26	0.05751498223
27	0.05639006109
28	0.05529929218
29	0.05422375487
30	0.05320238219
31	0.05221653505
32	0.0512482271
33	0.05037315872
34	0.04950667034
35	0.04866072859
36	0.04784340803
37	0.04704560102
38	0.04627035891
39	0.04554963033
40	0.04485106566
41	0.04419544229
42	0.04355396416
43	0.04293933091
44	0.04233523272
45	0.04177801128
46	0.04119409897
47	0.04065675459
48	0.04015290752
49	0.03965586287
50	0.03918804
51	0.03874720172
52	0.03829235518
53	0.03788560645
54	0.03748011647
55	0.03708904796
56	0.03670644952
57	0.03636052227
58	0.03602598213
59	0.03570424815
60	0.03537787989
61	0.03506565319
62	0.03477046879
63	0.0344969612
64	0.03421695301
65	0.03394693179
66	0.0336838964
67	0.03343076348
68	0.03319677555
69	0.03299505798
70	0.0327761477
71	0.03256419456
72	0.03236929242
73	0.03216040267
74	0.03197640023
75	0.03180203265
76	0.03163001539
77	0.03146365059
78	0.03131718491
79	0.0311628749
80	0.03101768648
81	0.03087656467
82	0.03072279649
83	0.03057474016
84	0.0304414671
85	0.03031419716
86	0.03020708091
87	0.03009030709
88	0.02999370568
89	0.02989129693
90	0.0297744094
91	0.02968186883
92	0.02957923445
93	0.02949674089
94	0.02941607888
95	0.02932976291
96	0.02925810731
97	0.02916409274
98	0.0290675082
99	0.02899119445
100	0.02891948029
101	0.02884746469
102	0.02877665269
103	0.02870540099
104	0.02862687051
105	0.02856119836
106	0.02850340017
107	0.02844118706
108	0.0283733223
109	0.02832190034
110	0.02825873865
111	0.02819266766
112	0.02813153364
113	0.02807962337
114	0.02801459865
115	0.02797268603
116	0.02791538824
117	0.02787132945
118	0.02781170956
119	0.0277702201
120	0.02773545649
121	0.02769479442
122	0.02765782004
123	0.02761801531
124	0.02757592946
125	0.02753709167
126	0.02749685778
127	0.02745767848
128	0.02740741626
129	0.02737275861
130	0.02733084096
131	0.02728852484
132	0.0272526799
133	0.02721984165
134	0.02718261213
135	0.02714097549
136	0.02710788571
137	0.02707271097
138	0.02704491358
139	0.02701709765
140	0.02698581485
141	0.02695344964
142	0.02692541882
143	0.02690179782
144	0.02687750255
145	0.02685332354
146	0.02682621945
147	0.02680003694
148	0.02677093232
149	0.02674179238
150	0.0267182154
151	0.02670255145
152	0.02667236322
153	0.02664387385
154	0.02662705639
155	0.02660100875
156	0.02657501003
157	0.02655227789
158	0.02653369586
159	0.0265044997
160	0.0264775253
161	0.02645381196
162	0.02643176045
163	0.02640435929
164	0.02637908371
165	0.02636402989
166	0.02634486683
167	0.02632931956
168	0.02631097013
169	0.02628486614
170	0.02627094224
171	0.02625051579
172	0.02623216321
173	0.02621333586
174	0.02619174605
175	0.02617215508
176	0.02615726723
177	0.02614333476
178	0.02612435602
179	0.02610781644
180	0.02608742334
181	0.02607067585
182	0.0260480701
183	0.02603369963
184	0.02601498865
185	0.02600109891
186	0.02598042928
187	0.02596924234
188	0.02595091674
189	0.02593480031
190	0.02591643649
191	0.02590332044
192	0.02588581457
193	0.0258751626
194	0.02586044369
195	0.02584249971
196	0.02583317407
197	0.0258230463
198	0.02581160069
199	0.02579461489
200	0.02578149059
201	0.02576851018
202	0.02574903008
203	0.02573447139
204	0.02571739309
205	0.02570213577
206	0.02567700517
207	0.02565770762
208	0.02563683765
209	0.02562516414
210	0.02561580222
211	0.02559801368
212	0.02557947765
213	0.02556288142
214	0.02554861265
215	0.02553416953
216	0.02552116778
